CD_NOM	PLUS_RECENTE_DIFFUSION	CD_NOM_REMPLACEMENT	CD_RAISON_SUPPRESSION	RAISON_SUPPRESSION
14319	5.0	14318	1	cd_nom de remplacement à utiliser.
14649	8.0		2	cd_nom non diffusé mais toujours existant : taxon diffusé à tort, non présent et jamais mentionné en France
14775	8.0		2	cd_nom non diffusé mais toujours existant : taxon diffusé à tort, non présent et jamais mentionné en France
14777	8.0		2	cd_nom non diffusé mais toujours existant : taxon diffusé à tort, non présent et jamais mentionné en France
15182	8.0		2	cd_nom non diffusé mais toujours existant : taxon diffusé à tort, non présent et jamais mentionné en France
15355	8.0	242743	1	cd_nom de remplacement à utiliser.
15363	9.0	15362	1	cd_nom de remplacement à utiliser.
15381	9.0	15380	1	cd_nom de remplacement à utiliser.
15388	9.0	15387	1	cd_nom de remplacement à utiliser.
15412	7.0	15396	1	cd_nom de remplacement à utiliser.
15669	5.0	15668	1	cd_nom de remplacement à utiliser.
15812	7.0	242392	1	cd_nom de remplacement à utiliser.
15997	8.0	15996	1	cd_nom de remplacement à utiliser.
16224	9.0	16223	1	cd_nom de remplacement à utiliser.
16226	9.0	16225	1	cd_nom de remplacement à utiliser.
16231	9.0	16230	1	cd_nom de remplacement à utiliser.
16233	9.0		1	cd_nom de remplacement à utiliser.
16261	8.0	242472	1	cd_nom de remplacement à utiliser.
16273	9.0	242461	1	cd_nom de remplacement à utiliser.
16280	8.0	242462	1	cd_nom de remplacement à utiliser.
16351	8.0	16350	1	cd_nom de remplacement à utiliser.
16404	7.0	242502	1	cd_nom de remplacement à utiliser.
16416	9.0	16415	1	cd_nom de remplacement à utiliser.
16434	9.0	16433	1	cd_nom de remplacement à utiliser.
16448	7.0	242501	1	cd_nom de remplacement à utiliser.
16449	7.0	16459	1	cd_nom de remplacement à utiliser.
16472	8.0		1	cd_nom de remplacement à utiliser.
16555	8.0		2	cd_nom non diffusé mais toujours existant : taxon diffusé à tort, non présent et jamais mentionné en France
16874	8.0		2	cd_nom non diffusé mais toujours existant : taxon diffusé à tort, non présent et jamais mentionné en France
17030	5.0	407817	1	cd_nom de remplacement à utiliser.
17152	5.0	17403	1	cd_nom de remplacement à utiliser.
17273	8.0		2	cd_nom non diffusé mais toujours existant : taxon diffusé à tort, non présent et jamais mentionné en France
17348	5.0	407923	1	cd_nom de remplacement à utiliser.
17365	5.0	242054	1	cd_nom de remplacement à utiliser.
17552	8.0	17553	1	cd_nom de remplacement à utiliser.
17664	7.0	250294	1	cd_nom de remplacement à utiliser.
17716	8.0	593705	1	cd_nom de remplacement à utiliser.
17818	7.0	17817	1	cd_nom de remplacement à utiliser.
17850	5.0	240840	1	cd_nom de remplacement à utiliser.
17917	7.0	579874	1	cd_nom de remplacement à utiliser.
17918	7.0	579875	1	cd_nom de remplacement à utiliser.
17921	7.0	579876	1	cd_nom de remplacement à utiliser.
17923	7.0	579878	1	cd_nom de remplacement à utiliser.
17925	7.0	579881	1	cd_nom de remplacement à utiliser.
18225	7.0	580544	1	cd_nom de remplacement à utiliser.
18424	5.0	552389	1	cd_nom de remplacement à utiliser.
18470	7.0	545332	1	cd_nom de remplacement à utiliser.
18473	7.0	548829	1	cd_nom de remplacement à utiliser.
18553	7.0	545883	1	cd_nom de remplacement à utiliser.
18566	7.0	545726	1	cd_nom de remplacement à utiliser.
18593	9.0	359956	1	cd_nom de remplacement à utiliser.
18663	6.0		1	cd_nom de remplacement à utiliser.
18762	7.0	240958	1	cd_nom de remplacement à utiliser.
18763	7.0	240958	1	cd_nom de remplacement à utiliser.
18807	7.0	240980	1	cd_nom de remplacement à utiliser.
18828	2.0		3	cd_nom à supprimer : enregistrement ambigü à revoir dans les données.
18880	7.0	216517	1	cd_nom de remplacement à utiliser.
18882	7.0	224641	1	cd_nom de remplacement à utiliser.
18917	7.0	216538	1	cd_nom de remplacement à utiliser.
18947	7.0	216581	1	cd_nom de remplacement à utiliser.
18951	7.0	216566	1	cd_nom de remplacement à utiliser.
18959	7.0	216563	1	cd_nom de remplacement à utiliser.
18960	7.0	216564	1	cd_nom de remplacement à utiliser.
19161	8.0	400240	1	cd_nom de remplacement à utiliser.
19248	7.0	227263	1	cd_nom de remplacement à utiliser.
19382	7.0	227228	1	cd_nom de remplacement à utiliser.
19604	7.0	227196	1	cd_nom de remplacement à utiliser.
19637	7.0	227192	1	cd_nom de remplacement à utiliser.
19694	9.0	227188	1	cd_nom de remplacement à utiliser.
19773	7.0	227100	1	cd_nom de remplacement à utiliser.
19863	7.0	224647	1	cd_nom de remplacement à utiliser.
19864	7.0	224648	1	cd_nom de remplacement à utiliser.
19952	7.0	226316	1	cd_nom de remplacement à utiliser.
20010	7.0	245134	1	cd_nom de remplacement à utiliser.
20272	7.0	237230	1	cd_nom de remplacement à utiliser.
20488	7.0	224878	1	cd_nom de remplacement à utiliser.
20489	7.0	224923	1	cd_nom de remplacement à utiliser.
20491	7.0	224939	1	cd_nom de remplacement à utiliser.
20493	7.0	224912	1	cd_nom de remplacement à utiliser.
20496	7.0	224870	1	cd_nom de remplacement à utiliser.
20509	7.0	224874	1	cd_nom de remplacement à utiliser.
20529	7.0	224885	1	cd_nom de remplacement à utiliser.
20556	7.0	224928	1	cd_nom de remplacement à utiliser.
20577	7.0	224902	1	cd_nom de remplacement à utiliser.
20584	7.0	224907	1	cd_nom de remplacement à utiliser.
20682	7.0	245053	1	cd_nom de remplacement à utiliser.
20709	7.0	244773	1	cd_nom de remplacement à utiliser.
20868	7.0	245003	1	cd_nom de remplacement à utiliser.
20969	7.0	244825	1	cd_nom de remplacement à utiliser.
21059	7.0	244817	1	cd_nom de remplacement à utiliser.
21092	8.0	244733	1	cd_nom de remplacement à utiliser.
21117	7.0	245112	1	cd_nom de remplacement à utiliser.
21141	7.0	244880	1	cd_nom de remplacement à utiliser.
21247	7.0	244792	1	cd_nom de remplacement à utiliser.
21339	7.0	224639	1	cd_nom de remplacement à utiliser.
21369	7.0	235468	1	cd_nom de remplacement à utiliser.
21410	7.0	235451	1	cd_nom de remplacement à utiliser.
21461	7.0	250140	1	cd_nom de remplacement à utiliser.
21874	7.0	225920	1	cd_nom de remplacement à utiliser.
21892	7.0	226203	1	cd_nom de remplacement à utiliser.
21954	7.0	226015	1	cd_nom de remplacement à utiliser.
22067	7.0	226605	1	cd_nom de remplacement à utiliser.
22162	7.0	217337	1	cd_nom de remplacement à utiliser.
22312	7.0	217654	1	cd_nom de remplacement à utiliser.
22359	7.0	217684	1	cd_nom de remplacement à utiliser.
22448	7.0	217706	1	cd_nom de remplacement à utiliser.
22503	7.0	216514	1	cd_nom de remplacement à utiliser.
22520	7.0	216551	1	cd_nom de remplacement à utiliser.
